Country,Year,Co2,Co2_per_capita,Gdp,Gdp_per_capita,Coal_co2,Cement_co2,Flaring_co2,Gas_co2,Oil_co2,Coal_co2_per_capita,Cement_co2_per_capita,Flaring_co2_per_capita,Gas_co2_per_capita,Oil_co2_per_capita,Cumulative_co2,Cumulative_coal_co2,Cumulative_cement_co2,Cumulative_flaring_co2,Cumulative_gas_co2,Cumulative_oil_co2,Annual_co2_fossil_cement,Co2_per_gdp,Consumption_co2_per_gdp,Consumption_co2,Consumption_co2_per_capita
India,1981,338838.134,0.473644451,193491000000.0,270.4706009,210604773,8887727,3176688.0,2883568.0,89713040,0.2944,0.0124,0.0044,0.004,0.1254,7084529918.0,5501746397.0,178639075,28011356.0,26267268.0,1349865824.0,315265795,0.2926,,,
Japan,1981,929606.502,7.900719032,1218990000000.0,10360.17827,247357616,40261246,73280.0,48592160.0,590551194,2.0833,0.3391,0.0006,0.4093,4.9738,20206050558.0,9337771398.0,699620718,956304.0,324051411.0,9843650723.0,926835495,0.3593,,,
Russia,1981,3425062.341,24.47504549,,,761607785,34800814,12677271.0,472798495.0,802813481,5.4794,0.2504,0.0912,3.4016,5.7759,45531301820.0,24597363620.0,699573847,179262817.0,5869633913.0,14185467638.0,2084697846,1.2141,,,
United States,1981,4535800.308,19.76676417,3207040000000.0,13976.10539,1535712153,31765466,5232192.0,1000727610.0,2100191237,6.6298,0.1371,0.0226,4.3203,9.0668,206221581485.0,104636044720.0,1287800398,778625695.0,29143046046.0,69919754286.0,4686171508,0.678,,,
India,1982,349637.449,0.477490561,200715000000.0,274.1113337,213426558,9676066,3814224.0,4360160.0,94406624,0.2915,0.0132,0.0052,0.006,0.1289,7410213550.0,5715172955.0,188315141,31825580.0,30627428.0,1444272448.0,325683632,0.293,,,
Japan,1982,900200.829,7.597913817,1134520000000.0,9575.607713,242630080,38152159,91600.0,49746128.0,566787824,2.0286,0.319,0.0008,0.4159,4.7388,21103458349.0,9580401478.0,737772877,1047904.0,373797539.0,10410438547.0,897407791,0.3376,,,
Russia,1982,3489821.561,24.78161636,,,771646987,33544954,12611233.0,500172095.0,806027041,5.5136,0.2397,0.0901,3.5738,5.7592,47655304131.0,25369010607.0,733118801,191874050.0,6369806008.0,14991494679.0,2124002311,1.2296,,,
United States,1982,4306748.487,18.59049523,3343790000000.0,14433.78773,1482815601,28265750,4990368.0,931365813.0,1990253586,6.3416,0.1209,0.0213,3.9832,8.5118,210668661403.0,106118860321.0,1316066148,783616063.0,30074411859.0,71910007872.0,4447079918,0.6557,,,
India,1983,378669.088,0.50527683,218262000000.0,291.2381101,232850400,10950501,4316192.0,5243184.0,99169824,0.3107,0.0146,0.0058,0.007,0.1323,7762743651.0,5948023355.0,199265642,36141772.0,35870612.0,1543442272.0,352530101,0.2932,,,
Japan,1983,883838.675,7.408104093,1243320000000.0,10421.21244,229795088,38101466,91600.0,53347840.0,559573408,1.9082,0.3164,0.0008,0.443,4.6466,21984367751.0,9810196566.0,775874343,1139504.0,427145379.0,10970011955.0,880909402,0.3239,,,
